team,vrs_rank,points
GamerLegion,11,1739
B8,16,1608
BetBoom,18,1575
MIBR,19,1545
HEROIC,23,1469
Lynn Vision,25,1438
BIG,26,1422
TYLOO,27,1391
SINNERS,28,1391
M80,29,1389
Liquid,36,1327
NRG,42,1296
Sharks,43,1296
Gaimin Gladiators,47,1285
THUNDER dOWNUNDER,56,1222
FlyQuest,74,1135
