team,vrs_rank,points
GamerLegion,11,1726
B8,16,1591
BetBoom,17,1562
MIBR,19,1544
HEROIC,23,1447
Lynn Vision,24,1442
BIG,27,1415
TYLOO,29,1390
SINNERS,30,1382
M80,31,1379
Liquid,41,1309
Sharks,46,1282
NRG,50,1271
Gaimin Gladiators,53,1237
THUNDER dOWNUNDER,57,1211
FlyQuest,76,1130
