team,vrs_rank,points
HEROIC,13,1552
Complexity,17,1433
TYLOO,18,1358
B8,20,1275
FlyQuest,24,1213
Lynn Vision,25,1212
NRG,32,1121
BetBoom,36,1102
OG,38,1097
Chinggis Warriors,40,1087
Imperial,41,1074
Nemiga,45,1045
Wildcard,48,1037
Legacy,49,1035
Fluxo,55,999
Metizport,60,959
