team,vrs_rank,points
FaZe,7,1638
BIG,33,1176
Liquid,17,1378
paiN,16,1488
3DMAX,13,1519
MIBR,22,1342
Ninjas in Pyjamas,23,1314
HEROIC,12,1528
FlyQuest,30,1200
FURIA,9,1591
Astralis,15,1512
B8,19,1370
GamerLegion,11,1537
Complexity,24,1294
TYLOO,20,1358
Virtus.pro,14,1515
